DATE,TYPE,TESTED,RECOVERED,VACCINATED 2 ,VACCINATED 1,CONFIRMED ,DECEASED
07-04-2020,delta,12947,75,0,0,573,27
07-04-2020,total,114015,469,0,0,5350,161
07-04-2020,delta7,71227,309,0,0,3715,114
08-04-2020,total,127919,565,0,0,5915,181
08-04-2020,delta,13904,96,0,0,565,20
08-04-2020,delta7,79968,396,0,0,3856,123
09-04-2020,delta7,89059,444,0,0,4183,158
09-04-2020,total,144910,635,0,0,6728,227
09-04-2020,delta,16991,70,0,0,813,46
10-04-2020,delta7,92085,556,0,0,4494,166
10-04-2020,total,161330,786,0,0,7599,249
10-04-2020,delta,16420,151,0,0,871,22
11-04-2020,delta7,99424,686,0,0,4769,194
11-04-2020,total,179374,972,0,0,8453,290
11-04-2020,delta,18044,186,0,0,854,41
12-04-2020,total,195748,1086,0,0,9211,332
12-04-2020,delta,16374,114,0,0,758,42
12-04-2020,delta7,106214,757,0,0,4918,214
13-04-2020,delta7,116486,804,0,0,5677,225
13-04-2020,total,217554,1198,0,0,10454,359
13-04-2020,delta,21806,112,0,0,1243,27
14-04-2020,total,244893,1365,0,0,11485,396
14-04-2020,delta,27339,167,0,0,1031,37
14-04-2020,delta7,130878,896,0,0,6135,235
15-04-2020,total,274599,1509,0,0,12371,423
15-04-2020,delta,29706,144,0,0,886,27
15-04-2020,delta7,146680,944,0,0,6456,242
16-04-2020,delta,28357,258,0,0,1061,26
16-04-2020,total,302956,1767,0,0,13432,449
16-04-2020,delta7,158046,1132,0,0,6704,222
17-04-2020,delta7,173793,1254,0,0,6755,238
17-04-2020,total,335123,2040,0,0,14354,487
17-04-2020,delta,32167,273,0,0,922,38
18-04-2020,delta7,192749,1494,0,0,7272,232
18-04-2020,total,372123,2466,0,0,15725,522
18-04-2020,delta,37000,426,0,0,1371,35
19-04-2020,delta,29463,388,0,0,1580,38
19-04-2020,total,401586,2854,0,0,17305,560
19-04-2020,delta7,205838,1768,0,0,8094,228
20-04-2020,delta,0,419,0,0,1239,33
20-04-2020,total,401586,3273,0,0,18544,593
20-04-2020,delta7,184032,2075,0,0,8090,234
21-04-2020,delta7,217728,2611,0,0,8596,250
21-04-2020,total,462621,3976,0,0,20081,646
21-04-2020,delta,61035,703,0,0,1537,53
22-04-2020,delta,37921,394,0,0,1292,36
22-04-2020,total,500542,4370,0,0,21373,682
22-04-2020,delta7,225943,2861,0,0,9002,259
23-04-2020,total,541789,5012,0,0,23040,722
23-04-2020,delta7,238833,3245,0,0,9608,273
23-04-2020,delta,41247,642,0,0,1667,40
24-04-2020,delta7,244834,3456,0,0,10094,294
24-04-2020,total,579957,5496,0,0,24448,781
24-04-2020,delta,38168,484,0,0,1408,59
25-04-2020,total,625309,5938,0,0,26283,825
25-04-2020,delta7,253186,3472,0,0,10558,303
25-04-2020,delta,45352,442,0,0,1835,44
26-04-2020,delta,40510,585,0,0,1607,56
26-04-2020,total,665819,6523,0,0,27890,881
26-04-2020,delta7,264233,3669,0,0,10585,321
27-04-2020,delta,50914,580,0,0,1568,58
27-04-2020,total,716733,7103,0,0,29458,939
27-04-2020,delta7,315147,3830,0,0,10914,346
28-04-2020,delta,54031,636,0,0,1902,69
28-04-2020,total,770764,7739,0,0,31360,1008
28-04-2020,delta7,308143,3763,0,0,11279,362
29-04-2020,total,830201,8429,0,0,33065,1079
29-04-2020,delta,59437,690,0,0,1705,71
29-04-2020,delta7,329659,4059,0,0,11692,397
30-04-2020,delta7,360865,4047,0,0,11827,432
30-04-2020,delta,72453,630,0,0,1802,75
30-04-2020,total,902654,9059,0,0,34867,1154
01-05-2020,delta7,396406,4525,0,0,12815,450
01-05-2020,delta,73709,962,0,0,2396,77
01-05-2020,total,976363,10021,0,0,37263,1231
02-05-2020,delta7,421141,4914,0,0,13544,498
02-05-2020,total,1046450,10852,0,0,39827,1323
02-05-2020,delta,70087,831,0,0,2564,92
03-05-2020,total,1107233,11763,0,0,42779,1463
03-05-2020,delta,60783,911,0,0,2952,140
03-05-2020,delta7,441414,5240,0,0,14889,582
04-05-2020,total,1191946,12845,0,0,46435,1566
04-05-2020,delta7,475213,5742,0,0,16977,627
04-05-2020,delta,84713,1082,0,0,3656,103
05-05-2020,delta,84835,1295,0,0,2971,128
05-05-2020,total,1276781,14140,0,0,49406,1694
05-05-2020,delta7,506017,6401,0,0,18046,686
06-05-2020,delta7,527212,6872,0,0,19943,706
06-05-2020,delta,80632,1161,0,0,3602,91
06-05-2020,total,1357413,15301,0,0,53008,1785
07-05-2020,delta7,535134,7717,0,0,21485,735
07-05-2020,delta,80375,1475,0,0,3344,104
07-05-2020,total,1437788,16776,0,0,56352,1889
08-05-2020,delta,85425,1111,0,0,3339,97
08-05-2020,total,1523213,17887,0,0,59691,1986
08-05-2020,delta7,546850,7866,0,0,22428,755
09-05-2020,delta,85824,1414,0,0,3175,116
09-05-2020,total,1609037,19301,0,0,62866,2102
09-05-2020,delta7,562587,8449,0,0,23039,779
10-05-2020,delta7,566455,9207,0,0,24398,751
10-05-2020,total,1673688,20970,0,0,67177,2214
10-05-2020,delta,64651,1669,0,0,4311,112
11-05-2020,total,1759579,22549,0,0,70769,2295
11-05-2020,delta,85891,1579,0,0,3592,81
11-05-2020,delta7,567633,9704,0,0,24334,729
12-05-2020,total,1854250,24454,0,0,74331,2415
12-05-2020,delta7,577469,10314,0,0,24925,721
12-05-2020,delta,94671,1905,0,0,3562,120
13-05-2020,delta,92791,1963,0,0,3726,137
13-05-2020,total,1947041,26417,0,0,78057,2552
13-05-2020,delta7,589628,11116,0,0,25049,767
14-05-2020,delta7,602164,11235,0,0,25696,760
14-05-2020,delta,92911,1594,0,0,3991,97
14-05-2020,total,2039952,28011,0,0,82048,2649
15-05-2020,delta,94325,2234,0,0,3808,104
15-05-2020,total,2134277,30245,0,0,85856,2753
15-05-2020,delta7,611064,12358,0,0,26165,767
16-05-2020,total,2227642,34257,0,0,90650,2873
16-05-2020,delta,93365,4012,0,0,4794,120
16-05-2020,delta7,618605,14956,0,0,27784,771
17-05-2020,total,2302792,36795,0,0,95699,3025
17-05-2020,delta7,629104,15825,0,0,28522,811
17-05-2020,delta,75150,2538,0,0,5049,152
18-05-2020,delta7,644688,16728,0,0,29558,861
18-05-2020,delta,101475,2482,0,0,4628,131
18-05-2020,total,2404267,39277,0,0,100327,3156
19-05-2020,delta7,658138,17855,0,0,32150,887
19-05-2020,total,2512388,42309,0,0,106481,3302
19-05-2020,delta,108121,3032,0,0,6154,146
20-05-2020,total,2615920,45422,0,0,112201,3436
20-05-2020,delta,103532,3113,0,0,5720,134
20-05-2020,delta7,668879,19005,0,0,34144,884
21-05-2020,total,2719434,48553,0,0,118224,3584
21-05-2020,delta7,679482,20542,0,0,36176,935
21-05-2020,delta,103514,3131,0,0,6023,148
22-05-2020,total,2834798,51833,0,0,124760,3726
22-05-2020,delta,115364,3280,0,0,6536,142
22-05-2020,delta7,700521,21588,0,0,38904,973
23-05-2020,total,2943421,54409,0,0,131425,3868
23-05-2020,delta7,715779,20152,0,0,40775,995
23-05-2020,delta,108623,2576,0,0,6665,142
24-05-2020,delta7,730799,20899,0,0,42837,999
24-05-2020,delta,90170,3285,0,0,7111,156
24-05-2020,total,3033591,57694,0,0,138536,4024
25-05-2020,delta7,721852,21429,0,0,44623,1017
25-05-2020,delta,92528,3012,0,0,6414,149
25-05-2020,total,3126119,60706,0,0,144950,4173
26-05-2020,total,3242160,64291,0,0,150857,4346
26-05-2020,delta,116041,3585,0,0,5907,173
26-05-2020,delta7,729772,21982,0,0,44376,1044
27-05-2020,total,3362136,67725,0,0,158103,4534
27-05-2020,delta,119976,3434,0,0,7246,188
27-05-2020,delta7,746216,22303,0,0,45902,1098
28-05-2020,total,3483838,70896,0,0,165357,4710
28-05-2020,delta7,764404,22343,0,0,47133,1126
28-05-2020,delta,121702,3171,0,0,7254,176
29-05-2020,total,3611599,82631,0,0,173495,4978
29-05-2020,delta7,776801,30798,0,0,48735,1252
29-05-2020,delta,127761,11735,0,0,8138,268
30-05-2020,delta7,793606,32525,0,0,50434,1315
30-05-2020,delta,125428,4303,0,0,8364,205
30-05-2020,total,3737027,86934,0,0,181859,5183
31-05-2020,delta,100180,4928,0,0,8789,222
31-05-2020,delta7,803616,34168,0,0,52112,1381
31-05-2020,total,3837207,91862,0,0,190648,5405
01-06-2020,delta7,839956,35038,0,0,53422,1433
