STATE,DATE ,TYPE ,TESTED,RECOVERED,VACCINATED 2,VACCINATED 1,CONFIRMED,DECEASED
AN,08-05-2020,total,3754,33,0,0,33,0
AN,09-05-2020,delta7,0,7,0,0,0,0
AN,09-05-2020,total,3754,33,0,0,33,0
AN,10-05-2020,total,3754,33,0,0,33,0
AN,10-05-2020,delta7,0,1,0,0,0,0
AN,11-05-2020,total,3754,33,0,0,33,0
AN,11-05-2020,delta7,0,1,0,0,0,0
AN,12-05-2020,total,3754,33,0,0,33,0
AN,12-05-2020,delta7,0,1,0,0,0,0
AN,13-05-2020,delta7,0,1,0,0,0,0
AN,13-05-2020,total,3754,33,0,0,33,0
AN,14-05-2020,total,3754,33,0,0,33,0
AN,15-05-2020,total,3754,33,0,0,33,0
AN,16-05-2020,delta,2923,0,0,0,0,0
AN,16-05-2020,delta7,2923,0,0,0,0,0
AN,16-05-2020,total,6677,33,0,0,33,0
AN,17-05-2020,total,6677,33,0,0,33,0
AN,17-05-2020,delta7,2923,0,0,0,0,0
AN,18-05-2020,delta7,2923,0,0,0,0,0
AN,18-05-2020,total,6677,33,0,0,33,0
AN,19-05-2020,total,6965,33,0,0,33,0
AN,19-05-2020,delta,288,0,0,0,0,0
AN,19-05-2020,delta7,3211,0,0,0,0,0
AN,20-05-2020,delta,117,0,0,0,0,0
AN,20-05-2020,delta7,3328,0,0,0,0,0
AN,20-05-2020,total,7082,33,0,0,33,0
AN,21-05-2020,delta,85,0,0,0,0,0
AN,21-05-2020,delta7,3413,0,0,0,0,0
AN,21-05-2020,total,7167,33,0,0,33,0
AN,22-05-2020,total,7263,33,0,0,33,0
AN,22-05-2020,delta,96,0,0,0,0,0
AN,22-05-2020,delta7,3509,0,0,0,0,0
AN,23-05-2020,total,7327,33,0,0,33,0
AN,23-05-2020,delta,64,0,0,0,0,0
AN,23-05-2020,delta7,650,0,0,0,0,0
AN,24-05-2020,delta7,650,0,0,0,0,0
AN,24-05-2020,total,7327,33,0,0,33,0
AN,25-05-2020,delta,36,0,0,0,0,0
AN,25-05-2020,delta7,686,0,0,0,0,0
AN,25-05-2020,total,7363,33,0,0,33,0
AN,26-05-2020,total,7448,33,0,0,33,0
AN,26-05-2020,delta,85,0,0,0,0,0
AN,26-05-2020,delta7,483,0,0,0,0,0
AN,27-05-2020,delta,51,0,0,0,0,0
AN,27-05-2020,delta7,417,0,0,0,0,0
AN,27-05-2020,total,7499,33,0,0,33,0
AN,28-05-2020,delta7,352,0,0,0,0,0
AN,28-05-2020,delta,20,0,0,0,0,0
AN,28-05-2020,total,7519,33,0,0,33,0
AN,29-05-2020,total,7567,33,0,0,33,0
AN,29-05-2020,delta,48,0,0,0,0,0
AN,29-05-2020,delta7,304,0,0,0,0,0
AN,30-05-2020,total,7567,33,0,0,33,0
AN,30-05-2020,delta7,240,0,0,0,0,0
AN,31-05-2020,total,7706,33,0,0,33,0
AN,31-05-2020,delta7,379,0,0,0,0,0
AN,31-05-2020,delta,139,0,0,0,0,0
AN,01-06-2020,delta,99,0,0,0,0,0
AN,01-06-2020,delta7,442,0,0,0,0,0
AN,01-06-2020,total,7805,33,0,0,33,0
AN,02-06-2020,total,8086,33,0,0,33,0
AN,02-06-2020,delta,281,0,0,0,0,0
AN,02-06-2020,delta7,638,0,0,0,0,0
AN,03-06-2020,total,8295,33,0,0,33,0
AN,03-06-2020,delta7,796,0,0,0,0,0
AN,03-06-2020,delta,209,0,0,0,0,0
AN,04-06-2020,delta,118,0,0,0,0,0
AN,04-06-2020,delta7,894,0,0,0,0,0
AN,04-06-2020,total,8413,33,0,0,33,0
AN,05-06-2020,total,8694,33,0,0,33,0
AN,05-06-2020,delta7,1127,0,0,0,0,0
AN,05-06-2020,delta,281,0,0,0,0,0
AN,06-06-2020,total,9037,33,0,0,33,0
AN,06-06-2020,delta7,1470,0,0,0,0,0
AN,06-06-2020,delta,343,0,0,0,0,0
AN,07-06-2020,delta,205,0,0,0,0,0
AN,07-06-2020,delta7,1536,0,0,0,0,0
AN,07-06-2020,total,9242,33,0,0,33,0
AN,08-06-2020,total,9341,33,0,0,33,0
AN,08-06-2020,delta7,1536,0,0,0,0,0
AN,08-06-2020,delta,99,0,0,0,0,0
AN,09-06-2020,delta7,1773,0,0,0,1,0
AN,09-06-2020,delta,518,0,0,0,1,0
AN,09-06-2020,total,9859,33,0,0,34,0
AN,10-06-2020,total,10010,33,0,0,35,0
AN,10-06-2020,delta,151,0,0,0,1,0
AN,10-06-2020,delta7,1715,0,0,0,2,0
AN,11-06-2020,total,10226,33,0,0,38,0
AN,11-06-2020,delta,216,0,0,0,3,0
AN,11-06-2020,delta7,1813,0,0,0,5,0
AN,12-06-2020,delta7,2003,0,0,0,5,0
AN,12-06-2020,total,10697,33,0,0,38,0
AN,12-06-2020,delta,471,0,0,0,0,0
AN,13-06-2020,total,10955,33,0,0,38,0
AN,13-06-2020,delta7,1918,0,0,0,5,0
AN,13-06-2020,delta,258,0,0,0,0,0
AN,14-06-2020,total,11356,33,0,0,40,0
AN,14-06-2020,delta,401,0,0,0,2,0
AN,14-06-2020,delta7,2114,0,0,0,7,0
AN,15-06-2020,delta,162,0,0,0,1,0
AN,15-06-2020,delta7,2177,0,0,0,8,0
AN,15-06-2020,total,11518,33,0,0,41,0
AN,16-06-2020,delta7,1950,0,0,0,10,0
AN,16-06-2020,delta,291,0,0,0,3,0
AN,16-06-2020,total,11809,33,0,0,44,0
AN,17-06-2020,total,12239,33,0,0,44,0
AN,17-06-2020,delta,430,0,0,0,0,0
AN,17-06-2020,delta7,2229,0,0,0,9,0
AN,18-06-2020,delta7,2396,2,0,0,7,0
AN,18-06-2020,total,12622,35,0,0,45,0
AN,18-06-2020,delta,383,2,0,0,1,0
AN,19-06-2020,total,12930,35,0,0,47,0
AN,19-06-2020,delta7,2233,2,0,0,9,0
AN,19-06-2020,delta,308,0,0,0,2,0
AN,20-06-2020,delta,390,0,0,0,0,0
AN,20-06-2020,total,13320,35,0,0,47,0
AN,20-06-2020,delta7,2365,2,0,0,9,0
AN,21-06-2020,total,13434,37,0,0,48,0
AN,21-06-2020,delta,114,2,0,0,1,0
AN,21-06-2020,delta7,2078,4,0,0,8,0
AN,22-06-2020,total,13511,37,0,0,48,0
AN,22-06-2020,delta,77,0,0,0,0,0
AN,22-06-2020,delta7,1993,4,0,0,7,0
AN,23-06-2020,delta,212,3,0,0,2,0
AN,23-06-2020,delta7,1914,7,0,0,6,0
AN,23-06-2020,total,13723,40,0,0,50,0
AN,24-06-2020,total,13994,41,0,0,56,0
AN,24-06-2020,delta7,1755,8,0,0,12,0
AN,24-06-2020,delta,271,1,0,0,6,0
AN,25-06-2020,total,14277,41,0,0,58,0
AN,25-06-2020,delta7,1655,6,0,0,13,0
AN,25-06-2020,delta,283,0,0,0,2,0
AN,26-06-2020,total,14583,43,0,0,72,0
AN,26-06-2020,delta,306,2,0,0,14,0
